1895	0.58	1.42	-0.93	-1.53	0.78	3.28	4.26	-0.44	-2.12	0.4	0.68	-0.38
1896	0.15	-0.47	0.43	0.68	-2.24	-1.08	-0.5	-2.1	0.4	1.29	-0.67	-0.46
1897	-0.02	1.16	2.31	0.38	-0.33	1.48	-0.27	3.83	-0.95	3.08	-0.78	0.23
1898	0.57	-1.02	-0.66	-1.33	4.69	1.42	1.19	-1.45	0.71	0.3	0.42	0.82
1899	0.73	0.49	0.56	-2.02	-2.58	-2.17	1.97	-2.61	-2.06	-0.23	0.55	0.98
1900	-1.08	1.24	-1.86	9.59	-0.83	1.62	-0.74	-2.3	-0.47	-1.28	-0.99	-0.61
1901	-0.49	-0.08	1.86	2.63	-0.64	-0.38	-2.51	3.39	-0.74	-1.33	-2.14	0.66
1902	-0.13	-0.25	1.2	-2.35	0.71	-1.27	-1.88	-0.05	2.39	-0.48	-0.49	0.85
1903	-0.71	4.17	-0.47	-1.01	-1.39	3.87	-1.37	0.58	-1.14	0.08	-1.01	-0.81
1904	-1.05	-1.25	-2.38	-1.89	1.67	3.55	0.65	0.83	1.68	-0.74	-2.1	-0.1
1905	0.89	0.11	2.7	6.74	2.68	0.83	2.58	0.17	0.17	0.92	-0.05	-1.19
1906	-0.3	-0.84	3.06	3.55	-0.64	0.47	2.1	-0.01	3.33	3.97	1.14	-1.23
1907	-0.73	-1.91	-3.55	-0.62	0.62	-1.71	-0.05	-1.3	-1.34	-0.77	-0.55	0.32
1908	-0.74	0.54	-2.69	-3.26	0.07	-2.68	0.34	-0.49	-2.04	2.86	2.09	-0.3
1909	-0.53	1.25	2.29	0.62	-0.01	1.43	0.12	0.63	3.85	-0.21	1.41	1.4
1910	-0.4	0.3	-3.32	-1.84	0.06	-2.91	-0.98	-0.9	-0.78	-1.22	-1.47	-0.17
1911	-1.5	2.21	-2.04	-1.56	-3.24	-2.91	1.47	-1.48	-2.02	1.13	0.02	1.07
1912	-0.87	2.14	1.33	0.03	0.94	3.93	2.85	1.04	1.96	0.61	-0.74	-0.44
1913	-0.05	1.49	-0.49	-0.47	-1.96	0.4	-0.15	-1.26	2.23	0.1	-1.25	10.38
1914	-0.24	-0.01	0.07	2.33	2.37	1.92	6.86	0.64	-0.95	2.93	-1.89	0.47
1915	0.45	2.09	1.26	3.63	3.52	3.76	2.09	4.57	3.48	0.69	-0.84	0.96
