Year	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
1983	-0.55	-0.21	4.88	1.43	2.11	4.28	0.88	3.36	-1.33	-0.81	2.41	0.74
1984	0.67	1.15	3.05	3.3	-1.41	1.26	1.59	5.52	0.19	7.17	-0.26	0.64
1985	1.08	1.06	0.99	1.08	1.79	0.36	5.23	-1.26	3.55	-0.16	1.62	0.31
1986	-1.48	-0.56	-2.94	-0.61	-2.5	-0.09	-0.11	3.02	-0.9	1.69	0.61	0.3
1987	1.33	4.31	1.68	-1.56	5.98	3.97	-0.29	3.76	-0.32	-0.47	0.83	1.29
1988	1.35	0.37	0.1	-1.5	0.57	0.27	-0.4	-1.35	-0.28	-2.27	-0.94	0.75
1989	0.64	0.7	-2.27	-2.43	-1.92	1.47	-1.96	-1.12	1.62	-1.44	-1.63	0.01
1990	1.3	0.44	3.37	-0.01	1.88	-1.55	5.21	-0.83	2.23	1.24	0.48	-0.71
1991	0.03	-1.54	-0.13	-0.43	-1.07	-0.42	2.8	3.84	-0.86	-0.5	5.54	0.54
1992	1.68	-0.73	3.82	-2.12	-2.29	3.65	-0.26	3.57	-2	-1.37	3.29	0.11
1993	0.47	0.77	0.15	0.57	0.2	0.61	-0.56	1.16	2.27	2.54	2.35	-0.3
1994	0.86	-0.37	0.05	1.99	1.78	1.02	-2.11	3.39	0.03	3.52	0.84	-0.73
1995	0.3	0.43	0.74	4.69	7.65	7.83	2.69	1.08	3.11	-0.69	-0.92	-0.89
1996	0.33	-0.58	1.32	-1.1	0.77	0.05	2.93	-0.14	3.5	-0.91	-0.59	-0.78
1997	0.08	0.8	-1.86	2.18	-1.28	4.14	1.45	4.16	1.43	4.66	2.21	1.37
1998	-0.26	1.23	1.56	2.6	-0.52	0.71	9.43	1.43	0.51	0.92	0.29	-0.19
1999	-0.14	-1.04	-2.23	10.16	6.11	3.05	3.22	6.96	1.29	-0.12	-0.85	0.27
2000	0.96	-0.51	3.78	-0.9	-0.71	-1.11	0.07	1.31	0.23	0.86	0.22	-0.51
2001	1.12	0.13	0.39	-1.05	4.33	-0.41	0.9	-1.38	-0.27	-2.15	0.93	-0.67
2002	0.57	-0.25	-0.58	-4.07	-3.88	-2.7	-4.99	-3.18	1	0.23	-1.14	-0.92
2003	-1.08	0.46	4.12	-0.05	-1.5	3.13	-3.22	-1.71	-1.35	-2.58	-0.86	-1.05
2004	0.33	0.79	-3.02	1.42	-3.98	1.5	2.49	2.69	-1.5	-1.6	0.7	-0.62
2005	0.53	-1.32	-0.18	1.01	-2.6	-0.66	-4.37	0.74	-2.16	2.11	-1.48	-0.03
2006	-0.73	-0.94	-0.74	-4.39	-4.6	-3.94	2.75	1.67	2.89	3.85	-0.59	5.63
2007	2.06	0.75	-1.43	3.39	2.76	0.21	-0.86	3.38	-1.82	-1.4	-1.57	1.13
2008	0.39	0.15	-0.33	-1.01	-3.15	-2.96	-4.16	4.19	0.9	-0.99	-0.63	-0.09
2009	-0.43	-1.58	-0.97	1.71	-1.57	2.22	2.28	-0.74	2.53	2.43	0.05	0.76
2010	-0.78	0.82	1.06	0.33	-1.93	-2.79	1.87	-0.05	-3.39	-2.1	-0.23	-0.81
2011	-0.48	0.14	-1.96	-2.2	-0.72	-4.62	-1.16	-2.34	2.8	0.33	-0.56	0.82
2012	-1.26	2.49	-4	-2.64	-4.25	-4.63	-2.13	-5.9	0.51	-1.34	-2.28	-0.7
2013	-0.75	1.98	-1.08	-2.01	-1.73	-3.98	0.32	1.73	7.15	0.57	-0.82	-0.91
2014	0.22	0.37	-1.44	-1.57	-2.97	-3.2	8.03	0.17	-1.59	3.36	-0.17	0.01
2015	1.8	2.59	0.08	-1.33	12.75	4.97	3.56	1.31	-1.66	4.12	-0.07	-0.57

