year,jan,feb,mar,apr,may,jun,jul,aug,sep,oct,nov,dec
1988,0.41,0.37,0.35,1.7,1.41,1.74,1.89,2.2,1.78,2.04,2.08,-0.02
1989,-0.01,-0.01,-0.03,-0.26,-0.28,-0.45,-0.4,-0.48,-0.52,-0.55,0.4,0.29
1990,0.29,0.24,0.31,1.14,0.74,1.64,0.57,0.34,0.68,0.79,1.04,0.86
1991,0.77,0.69,0.65,0.66,0.78,0.85,-0.2,-0.35,-0.4,-0.37,-0.46,-0.47
1992,-0.45,-0.43,0.13,2.38,0,-0.16,-0.54,-0.78,0.45,1.12,-0.1,-0.13
1993,-0.13,-0.11,-0.11,-0.09,-0.07,-0.13,-0.24,-0.5,-0.68,-0.9,-0.97,-0.98
1994,0,-0.01,-0.02,0.54,0.64,1.57,1.73,2.36,3.01,-0.19,-0.21,-0.22
1995,-0.22,-0.21,-0.2,-0.48,-0.46,-0.49,-0.57,1.04,-0.06,-0.18,0.3,0.2
1996,0.16,0.14,0.17,1.17,0.9,1.11,-0.1,-0.01,-0.19,-0.14,-0.13,-0.15
1997,-0.15,-0.14,-0.16,-0.86,0.8,0.94,1.61,-0.23,-0.08,-0.11,-0.17,-0.19
1998,-0.19,-0.18,-0.17,-0.18,0.8,-0.07,0.13,0.28,1.56,-0.13,-0.05,-0.07
1999,-0.08,-0.07,-0.09,-0.49,-0.32,-0.46,-0.38,-0.45,-0.64,0.4,-0.33,1.09
2000,0.99,0.92,0.94,2.39,2.14,2.15,2.53,3.03,2.75,2.36,1.83,1.62
2001,1.47,1.37,1.35,1.86,1.3,1.4,1.75,1.94,2.44,2.29,2.52,2.25
2002,2.06,1.9,1.81,3.35,2.89,3.5,4.2,4.31,4.06,2.79,2.49,2.23
2003,2.04,1.91,1.94,3.23,2.69,1.75,3.16,3.7,2.98,3.68,-0.03,-0.05
2004,-0.06,-0.05,-0.07,-1.08,-1.13,-1.3,-1.53,-1.71,-1.6,-1.6,-1.61,-1.62
2005,-1.59,-1.58,-1.54,-1.63,0.7,0.51,1.43,1.05,1.74,1.49,1.78,1.57
2006,1.43,1.3,1.29,2.99,2.74,3.18,0,-0.18,-0.49,-0.69,0.24,-0.01
2007,-0.01,-0.01,-0.03,-0.06,0.57,-0.01,0.4,0.88,1.06,1.33,1.58,1.4
2008,1.27,1.19,1.08,0.93,1.22,1.15,1.9,-0.25,-0.45,-0.51,0.36,-0.03
2009,-0.04,-0.04,-0.04,-0.1,0.67,-0.24,-0.45,-0.59,-0.71,-1.27,-1.34,-1.35
2010,-1.34,-1.32,-1.29,-1.06,-1.24,-1.24,-1.28,0.35,1.43,1.75,1.73,1.54
2011,1.42,1.32,1.17,1.53,0.72,0.78,1.29,2.47,-0.07,-0.11,-0.05,-0.08
2012,-0.08,-0.04,-0.08,-2.1,-2.09,-1.7,-1.41,-1.16,-1.05,-1.28,-1.12,-1.14
2013,-1.13,-1.1,-1.06,-1.37,-1.12,-0.94,-1.08,-1.02,-1.01,-1.38,-1.33,-1.34
2014,-1.33,-1.31,-1.29,-1.22,-1.35,-1.46,-1.64,-1.93,-1.92,-1.87,-1.89,-1.89
,,,,,,,,,,,,
