Year	 Jan	 Feb	 Mar	 Apr	 May	 Jun	 Jul	 Aug	 Sep	 Oct	 Nov	 Dec
1983	2.14	1.85	3.29	3.42	3.77	4.81	4.61	5.25	4.27	3.56	3.99	3.83
1984	3.66	3.66	4.3	4.96	3.98	3.99	4.11	5.53	5.02	6.89	6.1	5.68
1985	5.46	5.25	5.04	4.88	4.97	4.58	5.85	4.83	5.52	4.9	4.93	4.53
1986	3.57	3.01	1.72	1.34	-2.26	-2.05	-1.88	-0.68	-0.91	1.1	1.19	1.17
1987	1.49	2.77	3.05	2.22	3.98	4.89	4.29	5.1	4.47	3.85	3.73	3.78
1988	3.84	3.57	3.23	2.4	2.34	2.19	1.83	1.19	0.98	-1.39	-1.56	-1.15
1989	-0.82	0.23	-0.76	-1.49	-1.98	-1.29	-1.81	-1.99	-1.25	-1.6	-1.98	-1.77
1990	-1.16	-0.89	1.6	1.44	1.92	1.2	2.81	2.25	2.76	2.89	2.75	2.23
1991	2.01	1.29	1.11	0.85	-1.02	-1.06	0.93	2.12	1.61	1.28	2.99	2.86
1992	3.13	2.57	3.58	2.5	1.48	2.54	2.19	3.16	2.17	1.49	2.43	2.22
1993	2.14	2.18	2.01	1.99	1.85	1.87	1.49	1.72	2.3	2.91	3.39	2.94
1994	2.93	2.5	2.26	2.69	3.01	3.04	2.02	2.94	2.65	3.55	3.46	2.86
1995	2.67	2.54	2.52	3.83	5.98	7.98	8.05	7.58	7.84	6.8	5.79	4.9
1996	4.5	3.85	3.89	3.12	3.06	2.76	3.45	3.05	3.9	3.2	2.67	2.14
1997	1.94	2.01	1.18	1.79	1.18	2.43	2.67	3.78	3.87	5.02	5.24	5.16
1998	4.54	4.48	4.54	4.94	4.26	4.06	6.78	6.56	6.05	5.74	5.24	4.64
1999	4.12	3.35	2.26	5.41	6.89	7.2	7.53	9.07	8.57	7.65	6.58	5.99
2000	5.69	4.94	5.69	4.8	4.07	3.28	2.97	3.1	2.85	2.85	2.63	2.18
2001	2.33	2.13	2.05	1.48	2.78	2.35	2.41	1.7	1.44	0.57	0.82	-0.22
2002	0.19	-0.63	-0.75	-2.03	-3.11	-3.69	-4.97	-5.52	-4.62	-4.07	-4.03	-3.92
2003	-3.87	-3.32	-1.61	-1.46	-1.81	-0.58	-1.59	-2	-2.24	-2.87	-2.86	-2.92
2004	-2.51	-1.99	-2.79	-2.03	-3.15	-2.32	-1.25	2.05	1.34	0.66	0.83	-0.21
2005	0.18	-0.92	-0.88	0.34	-0.87	-1	-2.35	-1.86	-2.39	-1.44	-1.79	-1.61
2006	-1.69	-1.83	-1.89	-3.16	-4.36	-5.23	-3.77	-2.83	-1.57	3.26	2.72	4.32
2007	4.56	4.34	3.42	4.2	4.69	4.27	3.55	4.31	3.25	2.45	1.67	1.88
2008	1.82	1.68	1.4	0.91	-1.85	-2.65	-3.76	-1.97	-1.47	-1.65	-1.69	-1.55
2009	-1.53	-1.9	-2.03	-1.25	-1.64	-0.73	1.42	1.03	1.77	2.4	2.16	2.19
2010	1.71	1.8	1.97	1.88	1.04	-1.51	-0.73	-0.67	-1.73	-2.25	-2.09	-2.15
2011	-2.09	-1.83	-2.29	-2.79	-2.74	-4	-3.97	-4.34	-2.96	-2.55	-2.47	-1.94
2012	-2.16	-1.11	-2.33	-2.97	-4.08	-5.21	-5.38	-6.79	-5.92	-5.76	-5.92	-5.55
2013	-5.22	-4.03	-3.97	-4.23	-4.37	-5.25	-4.61	-3.55	-0.8	2.87	2.3	1.76
2014	1.65	1.6	0.96	-1.16	-2.03	-2.89	2.68	2.46	1.67	2.62	2.3	2.06
2015	2.45	3.06	2.77	2.04	6.08	7.11	7.56	1.5	-1.61	-2.36	-2.87	-2.62
